包名,名称,UI界面,是否可用,图标正常,桌面启动,备注,
com.nutstore.deepin,坚果云,,,,,包内缺启动文件nutstore-pydaemon.py,
com.oa8000.htim,小天精灵即时通讯软件,是,是,是,是,,
com.onbonbx.ledshowsuite,LedShowSuite,是,是,是,是,,
com.oneofd.ofdreader,葫芦OFD阅读器,是,是,是,是,,
com.opiping.manager,opiping,是,是,是,是,,
com.opiping.nabric,Nabric 一站式团队协作系统,是,是,是,是,,
com.oray.hsk,花生壳网页版,是,是,是,是,网页应用,
com.oray.pgyenterprise.client,蒲公英企业版,,,,,"需要服务,* INFO  * A program with the same name is already running",
com.oray.sunlogin.client,向日葵远程控制,,,,,需要服务,
com.oray.sunlogin.enterprise,向日葵企业版客户端,,,,,跳过,
com.oray.sunlogin.remote,向日葵企业版控制端,,,,,需要服务,
com.ovital.map,奥维互动地图,是,是,是,是,,
com.qljy.qlteacher,青鹿教室,是,是,是,是,,
com.qq.wemeet,腾讯会议,是,是,是,是,,
com.rembb.jsx-tc,记上学三个课堂,,,,,Runtime error 217 at 00000000009F7AB7,
com.sample.sradio,SRadio,,,,,仓库libfontconfig1版本太高：symbol lookup error: /usr/lib/x86_64-linux-gnu/libfontconfig.so.1: undefined symbol: FT_Done_MM_Var,
com.sdca.certmng,SDCA证书桌面管理软件,,,,,"BS软件,启动后用户不能结束服务端,不适合,跳过",
com.sdguodun.dzonesign,大众签章,是,是,是,否,"复制desktop的ll-cli命令可启动,双击不行",
com.semxum.aivoicebox,声讯智能会议终端系统,,,,,无快捷方式,
com.sumscope.qeubee,qeubee终端,是,是,是,是,,
com.synology.drive,Synology Drive Client,是,是,是,是,,
com.szca.msm.uos,协同签名密码模块,是,是,是,是,,
com.szca.signproducttool,深圳CA签署产品,是,是,是,是/部分正常,,
com.szshenshu.aidemo,深数科技人脸识别身份核验软件,是,是,是,是,"摄像头打开失败,USB相关,可能不可用",
com.teakki.akeychat,安司密信,是,是,是,否,"复制desktop的ll-cli命令可启动,双击不行",
com.tencent.gamereva,腾讯先锋云游戏,是,是,是,是,,
com.tencent.wechat,微信,是,是,是,是,,
com.thtfpc.camerashow,同方视频展台,,,,,没有包,
com.thtfpc.classeva,同方课堂评价,,,,,没有包,
com.thtfpc.integratedesktop,同方教育桌面,,,,,没有包,
com.thtfpc.whiteboard,同方教育白板,,,,,没有包,
com.todesk,ToDesk-远程控制,是,否,是,是,无网络,
com.todesk.bclient,ToDesk企业主控,是,否,是,是,无网络,
com.todesk.bhost,ToDesk企业被控,是,否,是,是,无网络,
com.todesk.bsos,ToDesk企业SOS,是,是,是,是,,
com.tongzhi.corecryptplugin,核心密码组件,,,,,"纯插件,无快捷方式",
com.tongzhi.corecryptserver,核心密码组件（http）,,,,,"纯插件,无快捷方式",
com.unity.unityhub,Unity Hub,,,,,"[58:0919/213237.931164:ERROR:angle_platform_impl.cc(44)] renderergl_utils.cpp:188 (ClearErrors): Preexisting GL error 0x00000500 as of ../../third_party/angle/src/libANGLE/renderer/gl/TextureGL.cpp, setImageHelper:256. ",
com.vymeet.cloud.meeting,Vymeet 云会议,是,是,是,是,,
com.wind.wfc,万得投顾终端,是,是,是,是,,
com.wind.wft,Wind金融终端(机构专用),是,是,是,是,,
com.wkimtilinux,马兰头会议,,,,,"UOS/V20 base均有问题,libQt5WebEngineCore.so.5: undefined symbol: FT_Palette_Select",
com.wotrus.wosignassist,沃签助手,是,否,是,否,"builder run正常,cli run 出Segmentation fault可能写入了程序目录
",
com.xhzx.dazzle,众芯盾电子文档安全管理系统V1.0,,,,,"服务相关,跳过",
com.xunlei.download,迅雷,是,是,是,是,,
com.xylink.linuxclient,小鱼易连,是,是,是,是,,
com.yiqixie.yiqixie,一起写,是,否,是,是,白屏,
com.yozosoft.yozo-office.s1,永中Office2019专业版办公软件V8.0,是,是,是,是,,
com.yunkanpan.numnode,云看盘,是,否,是,是,"无限加载,疑似服务端已挂",
com.yygongzi,用友工资条,是,是,是,是,网页快捷方式,
com.zhixue.zhixuewang,智学网,是,是,是,是,网页快捷方式,
com.zjca.zjcakeymanager,ZJCA证书助手,是,是,是,是,,
com.zjd.gov,浙政钉,是,否,是,是,无网络,
com.zlgpy.capturevideov4,哲林影像采集系统,是,是,是,否,"复制desktop的ll-cli命令可启动,双击不行",
com.zqykj.hyjjai,智器云火眼金睛人工智能版,,,,,崩溃,
com.zwsoft.zw3d2024,中望3D 2024,是,是,是,否,"复制desktop的ll-cli命令可启动,双击不行",
com.zwsoft.zwcadm2024,中望CAD机械版 2024,是,是,是,是,"除了启动器快捷方式不可用,其他快捷方式可用",
con.boxuebao.boxuezhiyun,博学智云,是,是,是,否,,
dev.warp.app,Warp Terminal,,否,,,透明窗口，不能正常使用,
duoyu-browser,多御安全浏览器,是,是,是,是,,
ekvit,全能看版式阅读编辑器软件,,,,,需要libfontconfig1=1.10，仓库中无/opt/apps/ekvit.linyaps/files//opt/apps/ekvit/ekvit: symbol lookup error: /opt/apps/ekvit.linyaps/files/lib/x86_64-linux-gnu/libfontconfig.so.1: undefined symbol: FT_Done_MM_Var,
em-va,集智(VA)应用云平台-客户端,是,是,是,是,,
encoo.robot,云扩RPA机器人,是,是,是,是,,
feidao,飞稻在线课程设计平台,是,是,是,是,,
holder,holder,是,是,是,是,,
hscore,山河安全工作空间,是,是,是,是,,
huaweicloudmeeting,华为云会议-视频会议办公软件,是,是,是,是,,
iauto,IAuto绘图,是,是,是,是,,
iiis,3IS蓝聪会议预约,,,,,"BS结构,用户无法关闭服务,不适合",
iitc,3IS智能信息交互系统-控制端,,,,,"BS结构,用户无法关闭服务,不适合",
insmsg,InsMsg企业即时通信,是,是,是,是,,
io.github.msojocs.bilibili,哔哩哔哩,是,是,是,是,,
j2l3x,J2L3x 数字工作空间系统,是,是,是,是,,
life.zishu.sdt,闪电藤文件传输,是,否,是,是,"不支持dmidecode# dmidecode 3.2
/sys/firmware/dmi/tables/smbios_entry_point: Permission denied
Scanning /dev/mem for entry point.
/dev/mem: No such file or directory",
mcs,视宽电子教室广播教学软件学生端,,,,,启动后无界面,
mct,视宽电子教室广播教学软件教师端,,,,,提示文件损坏,
mcu,PoloMeeting视频会议系统-MCU服务器,是,是,是,是,,
meeting,红杉会议,,,,,"容器不支持shm:[pid    47] openat(AT_FDCWD, ""/dev/shm/pulse-shm-4079904060"", O_RDWR|O_NOFOLLOW|O_CLOEXEC) = -1 ENOENT (No such file or directory)
shm_open() failed: No such file or directory",
